Nutrient,Amount,Unit,DV,commodity
Riboflavin [Vitamin B2],2.255,mg,173 %,peppers_dried_ancho
Niacin [Vitamin B3],6.403,mg,40 %,peppers_dried_ancho
Vitamin C [Ascorbic acid],2.0,mg,2 %,peppers_dried_ancho
Calcium,61.0,mg,5 %,peppers_dried_ancho
Iron,10.93,mg,61 %,peppers_dried_ancho
Protein,11.86,g,24 %,peppers_dried_ancho
Calories,26.0,,,peppers_raw_red_sweet
"Vitamin A, RAE",157.0,mcg,17 %,peppers_raw_red_sweet
Thiamin [Vitamin B1],0.054,mg,5 %,peppers_raw_red_sweet
Riboflavin [Vitamin B2],0.085,mg,7 %,peppers_raw_red_sweet
Niacin [Vitamin B3],0.979,mg,6 %,peppers_raw_red_sweet
Vitamin C [Ascorbic acid],127.7,mg,142 %,peppers_raw_red_sweet
Calcium,7.0,mg,1 %,peppers_raw_red_sweet
Iron,0.43,mg,2 %,peppers_raw_red_sweet
Protein,0.99,g,2 %,peppers_raw_red_sweet
Calories,152,,,plantains_raw_green
Thiamin [Vitamin B1],0.100,mg,8 %,plantains_raw_green
Riboflavin [Vitamin B2],0.100,mg,8 %,plantains_raw_green
Niacin [Vitamin B3],0.550,mg,3 %,plantains_raw_green
Vitamin C [Ascorbic acid],20.2,mg,22 %,plantains_raw_green
Calcium,2.00,mg,0 %,plantains_raw_green
Iron,0.75,mg,4 %,plantains_raw_green
Protein,1.25,g,2 %,plantains_raw_green
Calories,367,,,rice_raw_longgrain_brown
"Vitamin A, RAE",0.00,mcg,0 %,rice_raw_longgrain_brown
Thiamin [Vitamin B1],0.541,mg,45 %,rice_raw_longgrain_brown
Riboflavin [Vitamin B2],0.095,mg,7 %,rice_raw_longgrain_brown
Niacin [Vitamin B3],6.494,mg,41 %,rice_raw_longgrain_brown
Vitamin C [Ascorbic acid],0.0,mg,0 %,rice_raw_longgrain_brown
Calcium,9.00,mg,1 %,rice_raw_longgrain_brown
Iron,1.29,mg,7 %,rice_raw_longgrain_brown
Protein,7.54,g,15 %,rice_raw_longgrain_brown
Calories,329.0,,,sorghum_grain
"Vitamin A, RAE",0.0,mcg,0 %,sorghum_grain
Thiamin [Vitamin B1],0.332,mg,28 %,sorghum_grain
Riboflavin [Vitamin B2],0.096,mg,7 %,sorghum_grain
Niacin [Vitamin B3],3.688,mg,23 %,sorghum_grain
Vitamin C [Ascorbic acid],0.0,mg,0 %,sorghum_grain
Calcium,13.0,mg,1 %,sorghum_grain
Iron,3.36,mg,19 %,sorghum_grain
Protein,10.62,g,21 %,sorghum_grain
Calories,446.0,,,soybeans_raw_mature_seeds
"Vitamin A, RAE",1.0,mcg,0 %,soybeans_raw_mature_seeds
